# timestamp x y z qx qy qz qw
1753778132.546623945 -0.038191 -0.025221 0.011366 0.000054 -0.000617 0.000154 1.000000
1753778147.444997072 0.009647 0.881819 0.510891 0.041024 -0.057742 0.140872 0.987491
1753778149.044594288 0.893535 1.415941 0.585135 0.038450 -0.072497 -0.113575 0.990135
1753778150.144751549 1.894756 1.367345 0.617713 0.020429 -0.074344 -0.171518 0.982159
1753778151.144148111 2.902323 1.221454 0.637872 0.049788 -0.076779 -0.118189 0.988766
1753778152.144302845 3.949660 1.132510 0.669323 0.012176 -0.090780 -0.018734 0.995620
1753778153.044062376 4.945803 0.991332 0.739593 0.036393 -0.094194 0.012791 0.994806
1753778153.946260214 5.996745 0.986869 0.743233 0.007759 -0.081712 0.043254 0.995687
1753778154.845700979 7.016709 0.971587 0.739721 0.022732 -0.088366 0.085966 0.992111
1753778155.745707750 8.062216 0.924155 0.752917 0.038539 -0.078904 0.104365 0.990655
1753778156.645430088 9.087513 1.143184 0.842371 0.045916 -0.101613 0.134969 0.984556
1753778157.545215607 10.083926 1.632051 0.867737 0.056648 -0.111122 0.057751 0.990509
1753778158.344753027 11.088862 1.927199 0.866830 0.071366 -0.067697 -0.012024 0.995078
1753778159.143685341 12.101220 1.942657 0.913715 0.019230 -0.048782 -0.021679 0.998389
1753778160.043480396 13.166224 1.935362 0.961055 0.036979 -0.065074 0.046880 0.996092
1753778160.945638180 14.230247 1.998549 0.998180 0.029434 -0.119949 0.023074 0.992075
1753778161.845378160 15.335295 2.105378 1.021364 0.024419 -0.107132 0.137224 0.984427
1753778162.645231485 16.321310 2.300076 1.095567 0.013866 -0.067216 0.311033 0.947918
1753778163.544646978 17.266141 2.847750 1.155262 0.004200 -0.070421 0.481016 0.873869
1753778164.443898916 17.767989 3.816020 1.132565 0.025687 -0.078041 0.595143 0.799409
1753778165.242679119 18.057398 4.838608 1.157636 0.010386 -0.084623 0.607598 0.789656
1753778166.143057585 18.256334 5.926008 1.173146 0.015971 -0.093189 0.633969 0.767557
1753778167.042821169 18.352093 7.009228 1.174419 0.035838 -0.102614 0.753403 0.648514
1753778168.343599081 17.554841 7.634597 1.127750 0.075997 -0.044977 0.916934 0.389145
1753778169.343970060 16.544321 7.887721 1.124879 0.059304 -0.034342 0.955935 0.285468
1753778170.343506336 15.528668 8.156872 1.089424 0.069000 -0.035479 0.940632 0.330442
1753778171.343614101 14.513991 8.559404 1.053092 0.054879 -0.036538 0.927439 0.368116
1753778172.343498707 13.512721 8.981076 1.025308 0.070583 -0.051804 0.925757 0.367843
1753778173.343496561 12.464717 9.240347 1.014081 0.082827 -0.039009 0.855969 0.508857
1753778174.343485117 11.413788 9.417061 0.976445 0.061515 0.009047 0.814295 0.577111
1753778175.343475342 10.358365 9.467277 0.932999 0.065754 -0.004222 0.732222 0.677871
1753778176.343472481 9.306289 9.566439 0.919563 0.064343 -0.035827 0.691303 0.718802
1753778177.342586279 8.226763 9.675334 0.908306 0.046594 -0.047615 0.695356 0.715571
1753778178.242350340 7.144372 9.840889 0.805307 0.051766 -0.031504 0.660201 0.748640
1753778179.142089367 6.134259 9.843835 0.737635 0.083344 -0.011245 0.665572 0.741580
1753778180.142169476 5.063312 9.892915 0.705177 0.084296 -0.044409 0.680721 0.726321
1753778181.142119884 4.045476 10.050633 0.725203 0.097664 -0.015130 0.693203 0.713935
1753778182.142103434 2.947230 10.170760 0.692723 0.080480 0.035339 0.660377 0.745773
1753778183.142107248 1.878059 10.203141 0.702866 0.116787 -0.010470 0.637264 0.761673
1753778184.141973972 0.835324 10.380189 0.650258 0.118822 -0.021543 0.616635 0.777932
1753778185.241925001 -0.212647 10.367403 0.574199 0.123606 -0.023400 0.639506 0.758423
1753778186.242329121 -1.305569 10.444623 0.565264 0.134124 -0.004848 0.623763 0.770004
1753778187.141945601 -2.334467 10.515081 0.518245 0.107952 -0.002168 0.643928 0.757428
1753778187.943904161 -3.326097 10.671147 0.502035 0.105551 -0.060902 0.632498 0.764916
1753778188.843218088 -4.346230 10.941117 0.338825 0.129646 -0.036158 0.780328 0.610715
1753778189.542822838 -5.335315 11.170460 0.295279 0.100544 -0.001356 0.915804 0.388834
1753778190.342054844 -6.396463 11.245973 0.181700 0.117595 0.003611 0.983639 0.136425
1753778191.242064714 -7.427896 11.050146 0.166058 0.097134 -0.006041 0.994179 -0.046218
1753778192.141499996 -8.425107 10.663357 0.148398 0.077299 -0.006420 0.994930 -0.064013
1753778193.041117907 -9.417089 10.496873 0.082754 0.078243 -0.000620 0.982393 -0.169653
1753778194.141496420 -10.306345 10.019948 0.111532 0.081882 -0.015449 0.899291 -0.429340
1753778195.241717339 -10.886837 9.117505 0.048054 -0.029687 0.005500 -0.830667 0.555950
1753778196.140891314 -11.310908 8.121804 -0.047092 -0.038260 -0.020989 -0.805018 0.591643
1753778197.040651798 -11.539194 7.059892 -0.114673 -0.014934 -0.018661 -0.766010 0.642384
1753778197.942786217 -11.487745 6.054960 -0.238497 0.000265 -0.020986 -0.622307 0.782492
1753778198.942529440 -10.950615 5.112982 -0.210336 0.007988 -0.027533 -0.339090 0.940317
1753778199.842534542 -10.155212 4.518097 -0.327361 -0.035198 -0.046060 -0.232340 0.970905
1753778200.742774248 -9.287504 3.988670 -0.372850 0.006583 -0.026068 -0.184568 0.982452
1753778201.742280960 -8.350832 3.453219 -0.423236 0.020700 -0.015563 -0.214327 0.976419
1753778202.641971350 -7.425306 3.025458 -0.464447 0.043693 -0.018565 -0.271117 0.961375
1753778203.541776896 -6.453738 2.559259 -0.497178 0.027363 -0.008229 -0.291557 0.956126
1753778204.441529036 -5.544841 2.088480 -0.575047 0.025291 0.002787 -0.258130 0.965775
1753778205.441293001 -4.630661 1.481792 -0.624850 0.004262 -0.020613 -0.240683 0.970376
1753778206.441489935 -3.745891 0.832333 -0.706601 0.025778 -0.028622 -0.229121 0.972636
1753778207.642001390 -2.876777 0.231837 -0.753704 0.014282 -0.038857 -0.264234 0.963570
1753778208.842461586 -1.915521 -0.335288 -0.763459 0.017704 -0.040843 -0.268500 0.962251
1753778209.741402388 -0.996746 -0.807327 -0.860389 0.006401 -0.008999 -0.224523 0.974406
1753778210.641538143 -0.104899 -1.343132 -0.934349 0.010511 -0.029022 -0.218377 0.975376
1753778211.540902376 0.810792 -1.832020 -1.003941 0.011980 -0.028705 -0.143658 0.989138
1753778212.440798283 1.787373 -2.282948 -1.054969 0.013146 -0.020766 -0.071311 0.997151
1753778213.239667892 2.748404 -2.667411 -1.080012 0.018786 -0.019761 -0.132084 0.990863
1753778214.139692068 3.771859 -3.102904 -1.151691 0.043179 -0.021135 -0.127148 0.990718
1753778215.039419889 4.833858 -3.451367 -1.196084 0.042355 -0.058690 -0.080955 0.994086
1753778215.841087341 5.898322 -3.471791 -1.194425 0.033150 -0.053546 -0.010243 0.997962
1753778216.640862226 6.962823 -3.243385 -1.236880 0.018924 -0.084922 -0.082230 0.992808
1753778217.540708780 8.072068 -3.324955 -1.304184 0.077562 -0.024038 -0.138052 0.987091
1753778218.440620661 9.108655 -3.608454 -1.333642 0.079829 -0.038529 -0.121535 0.988621
1753778219.339848757 10.145207 -4.017617 -1.386903 0.062200 -0.039103 -0.168830 0.982903
1753778220.239886045 11.171775 -4.404667 -1.460063 0.033411 -0.061285 -0.161488 0.984403
1753778221.139339685 12.199542 -4.745324 -1.513827 0.041391 -0.042665 -0.046921 0.997128
1753778222.039135695 13.201846 -4.913096 -1.550250 0.065633 -0.027431 0.134331 0.988380
1753778222.941277266 14.170993 -4.644395 -1.587643 0.055922 -0.010501 0.302399 0.951482
1753778223.840974331 15.024901 -4.063245 -1.594630 0.060176 -0.064892 0.453107 0.887052
