# timestamp x y z qx qy qz qw
1753778132.546623945 -0.038191 -0.025221 0.011366 0.000054 -0.000617 0.000154 1.000000
1753778147.444997072 0.009647 0.881819 0.510891 0.041024 -0.057742 0.140872 0.987491
1753778149.044594288 0.894357 1.416555 0.585580 0.038486 -0.072616 -0.113503 0.990133
1753778150.144751549 1.896865 1.368026 0.618837 0.020515 -0.074567 -0.171211 0.982194
1753778151.144148111 2.905693 1.222704 0.639848 0.049897 -0.077072 -0.117647 0.988802
1753778152.144302845 3.954825 1.135404 0.672363 0.012318 -0.091175 -0.017992 0.995596
1753778153.044062376 4.953310 0.996857 0.744041 0.036600 -0.094623 0.013710 0.994746
1753778153.946260214 6.006584 0.996026 0.749393 0.008026 -0.082208 0.044288 0.995598
1753778154.845700979 7.029060 0.985052 0.747499 0.023079 -0.088846 0.087088 0.991962
1753778155.745707750 8.077569 0.942134 0.762683 0.038966 -0.079328 0.105475 0.990487
1753778156.645430088 9.105376 1.166057 0.854087 0.046466 -0.101941 0.136002 0.984354
1753778157.545215607 10.103825 1.659648 0.881448 0.057320 -0.111261 0.058652 0.990402
1753778158.344753027 11.111177 1.959450 0.881918 0.072072 -0.067619 -0.011307 0.995040
1753778159.143685341 12.126077 1.979040 0.930635 0.019973 -0.048615 -0.021269 0.998391
1753778160.043480396 13.194202 1.976013 0.979522 0.037812 -0.064706 0.046772 0.996090
1753778160.945638180 14.261436 2.042206 1.017636 0.030280 -0.119223 0.022224 0.992157
1753778161.845378160 15.370348 2.151060 1.040436 0.025446 -0.106067 0.135532 0.984750
1753778162.645231485 16.360630 2.345690 1.113573 0.015329 -0.065927 0.308536 0.948802
1753778163.544646978 17.313192 2.892418 1.172683 0.006186 -0.068925 0.477629 0.875832
1753778164.443898916 17.827314 3.861315 1.151637 0.028174 -0.076430 0.590962 0.802576
1753778165.242679119 18.131565 4.884980 1.178982 0.013136 -0.082437 0.602709 0.793583
1753778166.143057585 18.348610 5.974582 1.197229 0.019006 -0.090474 0.628431 0.772352
1753778167.042821169 18.464225 7.061187 1.201482 0.039551 -0.100024 0.748068 0.654847
1753778168.343599081 17.682518 7.706883 1.167926 0.081584 -0.043366 0.913046 0.397253
1753778169.343970060 16.681077 7.983016 1.180814 0.065766 -0.032647 0.952936 0.294147
1753778170.343506336 15.674368 8.275465 1.162317 0.075761 -0.032891 0.937165 0.338969
1753778171.343614101 14.670790 8.700713 1.143558 0.061807 -0.032840 0.923901 0.376175
1753778172.343498707 13.680493 9.143728 1.133577 0.077579 -0.047494 0.922409 0.375350
1753778173.343496561 12.640688 9.423136 1.141911 0.089049 -0.032906 0.852033 0.514809
1753778174.343485117 11.595771 9.617151 1.124514 0.067270 0.016521 0.810857 0.581131
1753778175.343475342 10.544684 9.681175 1.102340 0.069994 0.004570 0.729531 0.680341
1753778176.343472481 9.497424 9.790244 1.109696 0.067517 -0.026221 0.690169 0.720014
1753778177.342586279 8.422251 9.904097 1.119328 0.049324 -0.037511 0.696205 0.715163
1753778178.242350340 7.341493 10.067920 1.036002 0.053418 -0.020887 0.662855 0.746548
1753778179.142089367 6.334473 10.064733 0.987914 0.084310 -0.000097 0.669867 0.737679
1753778180.142169476 5.266759 10.101485 0.974852 0.084983 -0.032817 0.687589 0.720363
1753778181.142119884 4.250242 10.241280 1.010685 0.097339 -0.002940 0.702256 0.705233
1753778182.142103434 3.152866 10.332356 0.994367 0.077772 0.047583 0.672521 0.734441
1753778183.142107248 2.087772 10.328752 1.020127 0.113488 0.002704 0.653131 0.748688
1753778184.141973972 1.041808 10.460552 0.978315 0.114362 -0.008112 0.636563 0.762655
1753778185.241925001 0.000708 10.391894 0.914998 0.118189 -0.009321 0.662999 0.739173
1753778186.242329121 -1.090675 10.399693 0.914547 0.126559 0.009741 0.651361 0.748075
1753778187.141945601 -2.118039 10.393718 0.873328 0.099192 0.011816 0.674770 0.731236
1753778187.943904161 -3.115891 10.466496 0.858058 0.098159 -0.047004 0.667929 0.736225
1753778188.843218088 -4.153016 10.636419 0.690526 0.121876 -0.018702 0.811383 0.571361
1753778189.542822838 -5.157604 10.760949 0.640686 0.092824 0.017328 0.936271 0.338348
1753778190.342054844 -6.215990 10.713047 0.523127 0.111778 0.025966 0.990350 0.077708
1753778191.242064714 -7.209376 10.391566 0.510019 0.093286 0.017400 0.989215 -0.111571
1753778192.141499996 -8.138424 9.873300 0.499186 0.072218 0.017225 0.987943 -0.135857
1753778193.041117907 -9.087966 9.559844 0.430079 0.073054 0.025161 0.966093 -0.246361
1753778194.141496420 -9.880293 8.948852 0.466528 -0.081804 -0.013795 -0.858895 0.505388
1753778195.241717339 -10.279560 7.960117 0.431956 -0.030708 -0.021366 -0.773666 0.632489
1753778196.140891314 -10.492710 6.902505 0.372611 -0.036418 -0.050367 -0.740043 0.669681
1753778197.040651798 -10.488100 5.819775 0.349323 -0.013839 -0.047332 -0.691290 0.720893
1753778197.942786217 -10.208120 4.852548 0.276513 -0.002935 -0.049005 -0.527898 0.847888
1753778198.942529440 -9.464384 4.069525 0.370507 -0.002764 -0.053355 -0.222157 0.973546
1753778199.842534542 -8.539361 3.688653 0.314821 -0.045885 -0.077155 -0.107778 0.990114
1753778200.742774248 -7.560659 3.401794 0.333260 -0.008145 -0.052900 -0.053432 0.997136
1753778201.742280960 -6.510464 3.137922 0.353648 0.005508 -0.042839 -0.078333 0.995991
1753778202.641971350 -5.498827 2.984428 0.380007 0.030760 -0.044889 -0.131485 0.989823
1753778203.541776896 -4.431516 2.816301 0.422000 0.014086 -0.038555 -0.148992 0.987986
1753778204.441529036 -3.418498 2.632412 0.418790 0.009416 -0.028644 -0.110984 0.993365
1753778205.441293001 -2.360526 2.330986 0.454475 -0.008249 -0.055893 -0.089221 0.994408
1753778206.441489935 -1.313605 1.986673 0.461999 0.014082 -0.061371 -0.073081 0.995336
1753778207.642001390 -0.295955 1.693838 0.503180 0.006132 -0.074931 -0.105560 0.991567
1753778208.842461586 0.797170 1.470955 0.587170 0.010448 -0.077365 -0.106539 0.991239
1753778209.741402388 1.826383 1.324385 0.576528 -0.007479 -0.047854 -0.060236 0.997008
1753778210.641538143 2.849375 1.113445 0.592087 -0.000135 -0.067361 -0.051556 0.996396
1753778211.540902376 3.879656 0.958068 0.611775 -0.001592 -0.066014 0.025960 0.997480
1753778212.440798283 4.953341 0.862056 0.652327 -0.004500 -0.057000 0.099725 0.993371
1753778213.239667892 5.987811 0.825988 0.714343 0.003422 -0.056564 0.039992 0.997592
1753778214.139692068 7.101890 0.763281 0.737677 0.027617 -0.053894 0.046688 0.997072
1753778215.039419889 8.220252 0.798150 0.785727 0.031548 -0.090248 0.094295 0.990943
1753778215.841087341 9.226152 1.144144 0.860801 0.018908 -0.085423 0.164572 0.982477
1753778216.640862226 10.151128 1.722887 0.877563 0.013283 -0.120363 0.093453 0.988232
1753778217.540708780 11.224772 2.026084 0.891332 0.062778 -0.051482 0.038760 0.995945
1753778218.440620661 12.295320 2.116190 0.950094 0.066878 -0.065055 0.055991 0.994063
1753778219.339848757 13.410501 2.088091 0.992656 0.051624 -0.069550 0.008000 0.996210
1753778220.239886045 14.510916 2.076978 1.012155 0.026885 -0.096251 0.014992 0.994881
1753778221.139339685 15.594807 2.110093 1.048407 0.026803 -0.074385 0.129819 0.988380
1753778222.039135695 16.594059 2.296601 1.090483 0.041210 -0.050645 0.307188 0.949406
1753778222.941277266 17.413400 2.880862 1.103218 0.023075 -0.030353 0.465338 0.884312
1753778223.840974331 18.015923 3.719689 1.119942 0.032390 -0.077133 0.603817 0.792721
