# timestamp x y z qx qy qz qw
1753778132.546623945 -0.038191 -0.025221 0.011366 0.000054 -0.000617 0.000154 1.000000
1753778132.646869659 -0.042861 -0.024104 0.005996 0.002246 -0.000415 0.000319 0.999997
1753778132.747117996 -0.040126 -0.026137 0.004414 -0.000973 -0.001451 -0.000191 0.999998
1753778132.847333908 -0.038743 -0.028920 0.002743 0.002062 -0.000148 0.000604 0.999998
1753778132.947582722 -0.037827 -0.029816 0.002161 -0.000199 -0.001257 0.000303 0.999999
1753778133.045423985 -0.036104 -0.024731 0.002520 0.000882 -0.000539 0.000162 0.999999
1753778133.145450830 -0.037320 -0.028469 0.005191 0.000163 -0.000954 0.000292 0.999999
1753778133.245690823 -0.037890 -0.025242 0.002903 0.000917 -0.000459 0.000222 0.999999
1753778133.345661163 -0.042671 -0.027849 0.002837 -0.000046 -0.001084 0.000118 0.999999
1753778133.444306612 -0.043752 -0.030370 0.008236 0.000147 -0.000386 0.000234 1.000000
1753778133.542990446 -0.041919 -0.031786 0.010139 0.001123 -0.000425 0.000349 0.999999
1753778133.641645432 -0.039203 -0.033202 0.010606 0.000411 -0.000336 0.000348 1.000000
1753778133.746890545 -0.039939 -0.035364 0.012495 0.000617 -0.000297 0.000298 1.000000
1753778133.847133636 -0.038279 -0.037040 0.010272 0.001018 -0.000382 0.000996 0.999999
1753778133.947374105 -0.037497 -0.037927 0.008940 0.000515 -0.000377 0.000351 1.000000
1753778134.045230389 -0.037991 -0.039278 0.007644 0.000725 -0.000767 0.000922 0.999999
1753778134.145072222 -0.038364 -0.039129 0.006182 0.000835 -0.000576 0.000192 0.999999
1753778134.245317698 -0.038821 -0.038356 0.001511 0.000964 -0.000593 0.000895 0.999999
1753778134.345562220 -0.039353 -0.038141 0.004394 0.000190 -0.000900 0.000077 1.000000
1753778134.445794821 -0.036644 -0.035339 0.004213 0.001128 -0.000630 0.000920 0.999999
1753778134.546028614 -0.037216 -0.038166 0.005144 0.000510 -0.000709 -0.000029 1.000000
1753778134.644939661 -0.036678 -0.036808 0.005358 0.000183 -0.000646 0.000928 0.999999
1753778134.743638515 -0.035125 -0.039872 0.004823 0.000491 -0.000507 0.000263 1.000000
1753778134.842273951 -0.036312 -0.039317 0.005499 -0.000280 -0.000615 0.000178 1.000000
1753778134.946973801 -0.038060 -0.041940 0.008745 0.001321 -0.000441 0.000676 0.999999
1753778135.039611578 -0.039260 -0.042109 0.009460 0.000628 -0.000252 0.000409 1.000000
1753778135.145425081 -0.039957 -0.042673 0.010158 0.000540 -0.000318 0.000531 1.000000
1753778135.245650053 -0.038850 -0.043152 0.007292 0.000590 -0.000639 0.001000 0.999999
1753778135.345898867 -0.037956 -0.040146 0.007670 0.000806 -0.000529 0.000395 0.999999
1753778135.446133375 -0.038831 -0.041237 0.007209 0.000575 -0.000534 0.000768 0.999999
1753778135.546372414 -0.039348 -0.039982 0.008584 0.000554 -0.000569 0.000472 1.000000
1753778135.646609783 -0.040349 -0.039406 0.012940 0.000829 -0.000345 0.000807 0.999999
1753778135.746854782 -0.039017 -0.042080 0.009874 0.000642 -0.000384 0.000426 1.000000
1753778135.846373558 -0.040415 -0.038474 0.009860 0.000456 -0.000453 0.000751 1.000000
1753778135.945017338 -0.038942 -0.039229 0.006369 0.000926 -0.000492 0.000348 0.999999
1753778136.043667316 -0.038320 -0.038642 0.003702 -0.000155 -0.000558 0.000107 1.000000
1753778136.142318010 -0.037639 -0.039839 0.004394 0.000472 -0.000290 0.000231 1.000000
1753778136.241010666 -0.036437 -0.039764 0.005356 0.000314 -0.000397 0.000335 1.000000
1753778136.345912695 -0.038057 -0.037619 0.008952 0.001309 -0.000235 0.000387 0.999999
1753778136.446141005 -0.038396 -0.038239 0.008083 -0.000366 -0.000754 0.000541 1.000000
1753778136.546364307 -0.038833 -0.037020 0.008377 0.000794 -0.000296 0.000215 1.000000
