# timestamp x y z qx qy qz qw
0.208510876 0.557689 -0.003211 0.013657 0.000056 -0.000654 0.000465 1.000000
0.312714100 1.119291 0.001186 0.021893 0.000207 -0.001387 0.001537 0.999998
0.416969061 1.684692 0.003147 0.031230 0.001372 -0.002191 0.002566 0.999993
0.521220922 2.247988 0.001159 0.044029 0.002432 -0.003071 0.003383 0.999987
0.625477076 2.816600 0.008773 0.053808 0.003003 -0.003446 0.004190 0.999981
0.729780912 3.380732 0.015623 0.061943 0.003217 -0.003116 0.004693 0.999979
0.834034920 3.964803 0.021939 0.073853 0.003373 -0.003264 0.005493 0.999974
0.938289881 4.563077 0.031695 0.088904 0.003035 -0.004531 0.005869 0.999968
1.042546988 5.150796 0.044667 0.103051 0.002224 -0.006339 0.006654 0.999955
1.146800995 5.761807 0.061635 0.112174 0.001379 -0.008155 0.007262 0.999939
1.251055956 6.390777 0.077513 0.123482 0.000546 -0.008211 0.007710 0.999936
1.355309010 7.017821 0.095637 0.130446 -0.000556 -0.004904 0.008344 0.999953
1.459564924 7.685496 0.108369 0.141001 -0.000791 0.000285 0.008547 0.999963
1.563817024 8.368794 0.126649 0.155514 -0.001280 0.003690 0.009100 0.999951
1.668072939 9.037565 0.143958 0.170032 -0.002233 0.003663 0.009686 0.999944
1.772326946 9.733734 0.166592 0.171018 -0.003629 0.000089 0.009900 0.999944
1.876533031 10.444230 0.191046 0.167253 -0.003637 -0.002997 0.010558 0.999933
1.980791092 11.157944 0.212070 0.167857 -0.002633 -0.002391 0.010952 0.999934
2.085092068 11.916681 0.230334 0.172834 -0.001912 0.002280 0.011292 0.999932
2.189348936 12.707256 0.243221 0.173643 -0.001445 0.006109 0.011472 0.999914
2.293601990 13.478603 0.265328 0.174528 -0.001087 0.007531 0.011832 0.999901
2.397859097 14.284241 0.285903 0.174399 -0.000086 0.007293 0.011846 0.999903
2.502110004 15.121685 0.302912 0.172744 -0.000005 0.006025 0.011452 0.999916
2.606368065 15.935315 0.324109 0.160547 -0.001283 0.004360 0.011324 0.999926
2.710596085 16.792988 0.344858 0.159408 0.000143 0.001713 0.010491 0.999943
2.814827919 17.667969 0.365093 0.164356 0.001519 -0.001300 0.010582 0.999942
2.919081926 18.537155 0.386652 0.174642 0.000913 -0.003856 0.009553 0.999947
3.023290873 19.435141 0.408996 0.180173 -0.000014 -0.004509 0.009670 0.999943
3.127543926 20.369931 0.430220 0.192200 0.000270 -0.004068 0.009784 0.999944
3.231752872 21.294553 0.449970 0.207804 -0.000118 -0.004563 0.009412 0.999945
3.335958004 22.245383 0.474465 0.226020 -0.001822 -0.005603 0.009456 0.999938
3.440165043 23.230758 0.508973 0.242063 -0.003905 -0.006021 0.009582 0.999928
3.544322968 24.180705 0.541813 0.260442 -0.004475 -0.005947 0.009721 0.999925
3.648533106 25.172993 0.569230 0.282335 -0.004994 -0.005878 0.009711 0.999923
3.752737045 26.166558 0.599566 0.304323 -0.005093 -0.005790 0.010027 0.999920
3.856941938 27.143548 0.622758 0.324811 -0.005359 -0.005162 0.010075 0.999922
3.961149931 28.162994 0.647084 0.345328 -0.005628 -0.004164 0.010143 0.999924
4.065356016 29.189978 0.671188 0.361828 -0.005761 -0.003537 0.010462 0.999922
4.169565916 30.188317 0.695842 0.384205 -0.005668 -0.003918 0.010327 0.999923
4.273775101 31.216082 0.727320 0.402095 -0.006495 -0.004371 0.010541 0.999914
4.377976894 32.268512 0.755838 0.420059 -0.006543 -0.003981 0.010696 0.999913
4.482136965 33.298223 0.777532 0.439562 -0.006043 -0.002488 0.010893 0.999919
4.586340904 34.358717 0.804703 0.456855 -0.006189 -0.000805 0.011160 0.999918
4.690507889 35.444053 0.829230 0.472884 -0.006073 0.000498 0.011355 0.999917
4.794657946 36.477229 0.853256 0.482642 -0.005872 0.000832 0.011769 0.999913
4.898863077 37.556993 0.881445 0.495028 -0.006016 0.000273 0.011793 0.999912
5.003025055 38.646073 0.922983 0.506312 -0.006476 0.000025 0.012253 0.999904
5.107187033 39.698342 0.956198 0.516564 -0.006136 0.000561 0.012677 0.999901
5.211395025 40.785542 0.990000 0.529633 -0.005931 0.001669 0.012772 0.999899
5.315596104 41.882388 1.023352 0.540851 -0.005662 0.002822 0.013269 0.999892
5.419805050 42.942725 1.056429 0.551076 -0.005993 0.003036 0.013343 0.999888
5.524008989 44.019358 1.092921 0.565450 -0.007283 0.001327 0.013805 0.999877
5.628220081 45.111975 1.130395 0.581065 -0.008293 -0.000876 0.013534 0.999874
5.732470036 46.153628 1.163785 0.594132 -0.008970 -0.001078 0.013602 0.999867
5.836679935 47.239797 1.196868 0.606612 -0.008228 0.000298 0.013505 0.999875
5.940882921 48.342852 1.232751 0.617602 -0.008651 0.001314 0.013428 0.999872
6.045037031 49.397479 1.268203 0.632334 -0.007689 0.002076 0.013500 0.999877
6.149301052 50.481029 1.301587 0.645508 -0.008342 0.001840 0.013214 0.999876
6.253505945 51.581995 1.335464 0.660667 -0.007799 0.001028 0.013072 0.999884
6.357712984 52.635777 1.365192 0.667973 -0.008140 -0.000126 0.012901 0.999884
6.461921930 53.726500 1.394176 0.683503 -0.007293 -0.001191 0.012496 0.999895
6.566073895 54.815367 1.428540 0.701521 -0.006716 -0.002705 0.012734 0.999893
6.670286894 55.870257 1.461497 0.723713 -0.006481 -0.003540 0.012239 0.999898
6.774482965 56.953163 1.491384 0.745696 -0.005512 -0.002338 0.012295 0.999906
6.878648996 58.056095 1.518056 0.763810 -0.004640 0.000582 0.012049 0.999916
6.982811928 59.111400 1.543391 0.772633 -0.003170 0.003436 0.012175 0.999915
7.087014914 60.199663 1.566715 0.786027 -0.002644 0.004186 0.012081 0.999915
7.191174030 61.302125 1.592806 0.792973 -0.001402 0.002721 0.011628 0.999928
7.295334101 62.357654 1.619375 0.801845 -0.000701 0.001116 0.011833 0.999929
7.399487972 63.449156 1.649732 0.812441 -0.001837 -0.000677 0.011694 0.999930
7.503649950 64.552115 1.679654 0.830376 -0.001887 -0.002685 0.011784 0.999925
7.607857943 65.610318 1.710161 0.848771 -0.003404 -0.003085 0.011410 0.999924
7.712016106 66.709624 1.746068 0.861884 -0.005084 -0.001285 0.010750 0.999928
7.816174030 67.823394 1.780034 0.880703 -0.005761 -0.000082 0.010714 0.999926
7.920334101 68.889050 1.813160 0.896524 -0.005808 0.000345 0.010737 0.999925
8.024493933 69.983524 1.840840 0.911586 -0.005066 0.000828 0.010769 0.999929
8.128649950 71.090630 1.869163 0.926139 -0.004412 0.001625 0.010750 0.999931
8.232805014 72.148028 1.894759 0.937864 -0.003678 0.002689 0.011243 0.999926
8.336965084 73.247792 1.920184 0.948412 -0.003074 0.003668 0.011464 0.999923
8.441123009 74.350428 1.948078 0.959283 -0.002643 0.003201 0.011596 0.999924
8.545284986 75.403744 1.975917 0.974054 -0.002971 0.001416 0.011961 0.999923
8.649394035 76.483762 2.006888 0.988175 -0.003334 0.000458 0.011900 0.999924
8.753554106 77.576621 2.039962 0.998042 -0.003913 0.001279 0.012697 0.999911
8.857714891 78.625779 2.073594 1.011164 -0.004366 0.003322 0.012995 0.999901
8.961826086 79.701029 2.108680 1.019939 -0.005093 0.005520 0.013057 0.999887
9.065984011 80.787920 2.145804 1.027694 -0.005391 0.005979 0.013353 0.999878
9.170094013 81.821398 2.180544 1.033487 -0.005617 0.005066 0.013607 0.999879
9.274251938 82.887995 2.217440 1.040667 -0.005498 0.004702 0.014127 0.999874
9.378412008 83.946686 2.255770 1.044912 -0.005318 0.004725 0.014185 0.999874
