# timestamp x y z qx qy qz qw
0.208510876 0.557689 -0.003211 0.013657 0.000056 -0.000654 0.000465 1.000000
0.312714100 1.119291 0.001186 0.021893 0.000207 -0.001387 0.001537 0.999998
0.416969061 1.684692 0.003147 0.031230 0.001372 -0.002191 0.002566 0.999993
0.521220922 2.247966 0.001086 0.044029 0.002431 -0.003071 0.003366 0.999987
0.625477076 2.816555 0.008608 0.053808 0.003000 -0.003446 0.004160 0.999981
0.729780912 3.380628 0.015347 0.061951 0.003216 -0.003118 0.004665 0.999979
0.834034920 3.964639 0.021554 0.073869 0.003372 -0.003267 0.005470 0.999974
0.938289881 4.562854 0.031205 0.088929 0.003036 -0.004535 0.005853 0.999968
1.042546988 5.150514 0.044082 0.103085 0.002225 -0.006343 0.006647 0.999955
1.146800995 5.761472 0.061004 0.112213 0.001379 -0.008159 0.007267 0.999939
1.251055956 6.390390 0.076851 0.123524 0.000543 -0.008214 0.007728 0.999936
1.355309010 7.017381 0.094962 0.130491 -0.000562 -0.004907 0.008377 0.999953
1.459564924 7.685003 0.107701 0.141048 -0.000799 0.000282 0.008596 0.999963
1.563817024 8.368248 0.126010 0.155561 -0.001292 0.003688 0.009165 0.999950
1.668072939 9.036964 0.143370 0.170080 -0.002247 0.003661 0.009769 0.999943
1.772326946 9.733087 0.166038 0.171065 -0.003646 0.000087 0.009992 0.999943
1.876533031 10.443567 0.190548 0.167293 -0.003657 -0.002997 0.010657 0.999932
1.980791092 11.157236 0.211672 0.167893 -0.002656 -0.002391 0.011073 0.999932
2.085092068 11.915929 0.230078 0.172867 -0.001939 0.002279 0.011436 0.999930
2.189348936 12.706434 0.243146 0.173710 -0.001475 0.006097 0.011640 0.999913
2.293601990 13.477707 0.265466 0.174647 -0.001119 0.007508 0.012026 0.999899
2.397859097 14.283235 0.286367 0.174584 -0.000121 0.007261 0.012065 0.999901
2.502110004 15.120571 0.303755 0.173012 -0.000042 0.005986 0.011695 0.999914
2.606368065 15.934090 0.325360 0.160909 -0.001322 0.004313 0.011591 0.999923
2.710596085 16.791650 0.346580 0.159879 0.000102 0.001661 0.010781 0.999940
2.814827919 17.666489 0.367358 0.164908 0.001475 -0.001353 0.010889 0.999939
2.919081926 18.535530 0.389485 0.175277 0.000866 -0.003911 0.009874 0.999943
3.023290873 19.433380 0.412441 0.180898 -0.000065 -0.004568 0.010003 0.999940
3.127543926 20.368033 0.434325 0.193024 0.000215 -0.004130 0.010129 0.999940
3.231752872 21.292565 0.454727 0.208731 -0.000175 -0.004628 0.009763 0.999942
3.335958004 22.243301 0.479905 0.227059 -0.001884 -0.005673 0.009813 0.999934
3.440165043 23.228566 0.515142 0.243238 -0.003969 -0.006098 0.009946 0.999924
3.544322968 24.178403 0.548699 0.261760 -0.004543 -0.006031 0.010091 0.999921
3.648533106 25.170585 0.576876 0.283816 -0.005066 -0.005967 0.010085 0.999919
3.752737045 26.164040 0.607984 0.305986 -0.005171 -0.005887 0.010405 0.999915
3.856941938 27.140939 0.631906 0.326660 -0.005440 -0.005264 0.010453 0.999917
3.961149931 28.160292 0.656996 0.347388 -0.005713 -0.004271 0.010521 0.999919
4.065356016 29.187185 0.681870 0.364112 -0.005850 -0.003649 0.010840 0.999917
4.169565916 30.185431 0.707274 0.386716 -0.005761 -0.004034 0.010707 0.999918
4.273775101 31.213082 0.739544 0.404910 -0.006596 -0.004495 0.010924 0.999908
4.377976894 32.265415 0.768907 0.423177 -0.006649 -0.004109 0.011081 0.999908
4.482136965 33.294729 0.791419 0.442972 -0.006154 -0.002617 0.011280 0.999914
4.586340904 34.354822 0.819435 0.460565 -0.006306 -0.000934 0.011548 0.999913
4.690507889 35.439759 0.844826 0.476898 -0.006195 0.000373 0.011741 0.999912
4.794657946 36.472538 0.869672 0.486941 -0.005998 0.000712 0.012152 0.999908
4.898863077 37.551902 0.898711 0.499611 -0.006147 0.000160 0.012173 0.999907
5.003025055 38.640571 0.941098 0.511162 -0.006611 -0.000078 0.012626 0.999898
5.107187033 39.692437 0.975119 0.521656 -0.006276 0.000468 0.013041 0.999895
5.211395025 40.779220 1.009779 0.534913 -0.006075 0.001591 0.013127 0.999894
5.315596104 41.875644 1.043992 0.546290 -0.005810 0.002761 0.013610 0.999887
5.419805050 42.935568 1.077858 0.556631 -0.006145 0.002993 0.013666 0.999883
5.524008989 44.011727 1.114985 0.571090 -0.007439 0.001302 0.014105 0.999872
5.628220081 45.103937 1.153044 0.586683 -0.008447 -0.000884 0.013815 0.999869
5.732470036 46.145186 1.186958 0.599786 -0.009131 -0.001071 0.013867 0.999862
5.836679935 47.231032 1.220552 0.612222 -0.008392 0.000321 0.013758 0.999870
5.940882921 48.333815 1.256884 0.623107 -0.008818 0.001348 0.013668 0.999867
6.045037031 49.388203 1.292723 0.637729 -0.007856 0.002102 0.013732 0.999873
6.149301052 50.471515 1.326495 0.650872 -0.008513 0.001858 0.013444 0.999872
6.253505945 51.572240 1.360770 0.666080 -0.007978 0.001039 0.013306 0.999879
6.357712984 52.625788 1.390859 0.673383 -0.008323 -0.000118 0.013144 0.999879
6.461921930 53.716273 1.420257 0.688923 -0.007480 -0.001188 0.012756 0.999890
6.566073895 54.804895 1.455082 0.706969 -0.006908 -0.002703 0.013017 0.999888
6.670286894 55.859539 1.488534 0.729190 -0.006677 -0.003536 0.012552 0.999893
6.774482965 56.942329 1.519000 0.751027 -0.005705 -0.002334 0.012642 0.999901
6.878648996 58.045144 1.546350 0.769081 -0.004835 0.000582 0.012436 0.999911
6.982811928 59.100332 1.572432 0.778001 -0.003374 0.003425 0.012607 0.999909
7.087014914 60.188539 1.596604 0.791329 -0.002846 0.004170 0.012563 0.999908
7.191174030 61.290937 1.623682 0.798409 -0.001611 0.002697 0.012165 0.999921
7.295334101 62.346402 1.651323 0.807224 -0.000906 0.001088 0.012429 0.999922
7.399487972 63.437832 1.682931 0.817872 -0.002043 -0.000711 0.012352 0.999921
7.503649950 64.540713 1.714258 0.835874 -0.002093 -0.002726 0.012508 0.999916
7.607857943 65.598833 1.746248 0.854345 -0.003612 -0.003134 0.012202 0.999914
7.712016106 66.698095 1.783861 0.867539 -0.005295 -0.001340 0.011615 0.999918
7.816174030 67.811838 1.819730 0.886453 -0.005975 -0.000144 0.011656 0.999914
7.920334101 68.877325 1.854844 0.902408 -0.006025 0.000270 0.011758 0.999913
8.024493933 69.971484 1.884775 0.917625 -0.005286 0.000742 0.011870 0.999915
8.128649950 71.078135 1.915542 0.932360 -0.004635 0.001529 0.011927 0.999917
8.232805014 72.135078 1.943634 0.944280 -0.003905 0.002584 0.012497 0.999911
8.336965084 73.234372 1.971825 0.955052 -0.003304 0.003554 0.012794 0.999906
8.441123009 74.336526 2.002651 0.966169 -0.002875 0.003080 0.013001 0.999907
8.545284986 75.389355 2.033459 0.981190 -0.003202 0.001288 0.013441 0.999904
8.649394035 76.468898 2.067730 0.995578 -0.003565 0.000323 0.013454 0.999903
8.753554106 77.561271 2.104303 1.005726 -0.004148 0.001139 0.014319 0.999888
8.857714891 78.609936 2.141442 1.019125 -0.004606 0.003176 0.014679 0.999877
8.961826086 79.684683 2.180252 1.028194 -0.005339 0.005369 0.014797 0.999862
9.065984011 80.770988 2.221304 1.036249 -0.005640 0.005825 0.015142 0.999852
9.170094013 81.803884 2.259886 1.042334 -0.005866 0.004909 0.015438 0.999852
9.274251938 82.869887 2.300831 1.049820 -0.005748 0.004542 0.015990 0.999845
9.378412008 83.927977 2.343251 1.054373 -0.005570 0.004564 0.016073 0.999845
